form	lemma	POS	morph
དགོས་	དགོས་	VERB
། །		PUNCT
གང་ལྟར་	གང་ལྟར་	NO_POS
ཡང་	ཀྱང་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
འི་	གི་	PART
ཚད་	ཚད་	NOUN
ནི་	ནི་	NO_POS
རབ་	རབ་	ADV
འབྲིང་	འབྲིང་	NOUN
གསུམ་	གསུམ་	NUM
སྟེ་	སྟེ་	PART
།		PUNCT
རབ་	རབ་	ADV
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
དྲིལ་བུ་	དྲིལ་བུ་	NOUN
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལ་	ལ་	ADP
འཇོག་	འཇོག་	VERB
ནུས་པ་	ནུས་པ་	VERB
འམ་	གམ་	PART
༑		PUNCT
		
ཞ་	ཞ་	OTHER
		
ཡང་ན་	ཡང་ན་	NO_POS
		
ཡི་དམ་	ཡི་དམ་	NOUN
ལྷ་		
དངོ་	དངོ་	NOUN
སུ་	སུ་	ADP
གནང་བ་	གནང་བ་	NO_POS
བྱིན་པ་	བྱིན་པ་	VERB
འི་	གི་	PART
བ་	བ་	NOUN
དུའོ་		NON_WORD
། །		PUNCT
འབྲིང་	འབྲིང་	NOUN
རྨི་ལམ་	རྨི་ལམ་	NOUN
དུ་	ལ་	PART
གནང་བ་	གནང་བ་	NO_POS
ཐོབ་པ་	ཐོབ་པ་	VERB
འི་	གི་	PART
བ་	བ་	NOUN
དུའོ་		NON_WORD
། །		PUNCT
ཐ་མ་	ཐ་མ་	ADJ
གྲངས་	གྲངས་	NOUN
ཀྱི་	གི་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གཙོ་བོ་	གཙོ་བོ་	ADJ
ཡབ་ཡུམ་	ཡབ་ཡུམ་	NOUN
གྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ནི་	ནི་	NO_POS
ཁྲི་ཕྲག་	ཁྲི་ཕྲག་	NO_POS
གསུམ་	གསུམ་	NUM
གསུམ་	གསུམ་	NUM
བཟླས་	བཟླས་	NO_POS
ཏེ་	སྟེ་	PART
ཨོཾ་	ཨོཾ་	X
ཤྲཱི་		NON_WORD
བཛྲ་	བཛྲ་	NO_POS
ཧེ་	ཧེ་	INTJ
ཧེ་	ཧེ་	INTJ
རུ་རུ་	རུ་རུ་	NO_POS
ཀཾ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
།		PUNCT
ཌཱ་ཀི་	ཌཱ་ཀི་	NOUN
ནཱི་		NON_WORD
ཛཱ་	ཛཱ་	NO_POS
ལ་	ལ་	ADP
སཾ་བ་	སཾ་བ་	NON_WORD
རཾ་		NON_WORD
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
བཛྲ་	བཛྲ་	NO_POS
བཻ་	བཻ་	NO_POS
རོ་ཙ་	རོ་ཙ་	OTHER
ནཱི་		NON_WORD
ཡེ་	ཡེ་	ADV
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ནི་	ནི་	NO_POS
ཁྲི་ཕྲག་	ཁྲི་ཕྲག་	NO_POS
གཉིས་	གཉིས་	NUM
གཉིས་	གཉིས་	NUM
བཟླས་	བཟླས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
ཡབ་ཡུམ་	ཡབ་ཡུམ་	NOUN
གྱི་	གི་	PART
སྔགས་	སྔགས་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
བཟླས་	བཟླས་	NO_POS
ཀྱང་	ཀྱང་	PART
བཏུབ་		NON_WORD
།		PUNCT
ཡབ་	ཡབ་	NOUN
ཀྱི་	གི་	PART
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
དང་	དང་	NO_POS
།		PUNCT
ཡུམ་	ཡུམ་	NOUN
གྱི་	གི་	PART
ཨོཾ་	ཨོཾ་	X
བཅད་	བཅད་	VERB
ན་	ནས་	PART
བཟླས་	བཟླས་	NO_POS
ཀྱང་	ཀྱང་	PART
བཏུབ་		NON_WORD
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
ན་	ན་	ADP
འདི་སྐད་	འདི་སྐད་	NO_POS
དུ་	ལ་	PART
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཀ་ར་	ཀ་ར་	OTHER
ཀ་ར་	ཀ་ར་	OTHER
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
པྲ་	པྲ་	NOUN
ཙཎྜེ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལྟ་བུ་	ལྟ་བུ་	NOUN
འོ་	གོ་	PART
"།

།"		PUNCT
བསྡུ་	བསྡུ་	VERB
ན་	ན་	ADP
ཨོཾ་	ཨོཾ་	X
ཀ་ར་	ཀ་ར་	OTHER
ཀ་ར་	ཀ་ར་	OTHER
པྲ་	པྲ་	NOUN
ཙཎྜེ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
།		PUNCT
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལྟ་བུ་	ལྟ་བུ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
།		PUNCT
སྒོ་མཚམས་	སྒོ་མཚམས་	NO_POS
མ་	མ་	PART
བརྒྱད་	བརྒྱད་	NUM
ལ་	ལ་	ADP
ལྷ་	ལྷ་	NOUN
རེ་རེ་	རེ་རེ་	DET
ལ་	ལ་	ADP
རང་རང་	རང་རང་	NO_POS
གི་	གི་	PART
སྔགས་	སྔགས་	NOUN
སྟོང་ཕྲག་	སྟོང་ཕྲག་	OTHER
ལྔ་	ལྔ་	NUM
དང་	དང་	NO_POS
ལྔ་	ལྔ་	NUM
བརྒྱ་པ་	བརྒྱ་པ་	NUM
རེ་	རེ་	DET
བཟླས་	བཟླས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོཾ་	ཨོཾ་	X
ཌཱ་ཀི་	ཌཱ་ཀི་	NOUN
ནཱི་		NON_WORD
ཡེ་	ཡེ་	ADV
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཀཱ་	ཀཱ་	NO_POS
ཀཱ་	ཀཱ་	NO_POS
སྱེ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
།		PUNCT
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
སྟེ་	སྟེ་	PART
།		PUNCT
ཞལ་	ཞལ་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
དང་	དང་	NO_POS
།		PUNCT
རྐང་པ་	རྐང་པ་	NOUN
བརྒྱད་པ་	བརྒྱད་པ་	NUM
ནི་	ནི་	NO_POS
སྤེལ་	སྤེལ་	VERB
མི་	མི་	PART
དགོས་	དགོས་	VERB
སོ་	སོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ན་	ན་	ADP
གྲངས་	གྲངས་	NOUN
ཀྱི་	གི་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
རེ་	རེ་	DET
		
ལུ་	ལུ་	NO_POS
		
རེ་	རེ་	DET
		
ནམ་	ནམ་	PRON
འབྲི་བ་	འབྲི་བ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
གྲངས་	གྲངས་	NOUN
ཀྱི་	གི་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
ཡང་	ཀྱང་	PART
འདི་བཞིན་	འདི་བཞིན་	NO_POS
དུ་	ལ་	PART
བྱ་	བྱ་	VERB
དགོས་པ་	དགོས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
༑༑		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
བླ་མ་	བླ་མ་	NOUN
འབའ་ཞིག་	འབའ་ཞིག་	NO_POS
གིས་	གིས་	PART
བྱ་	བྱ་	VERB
དགོས་པ་	དགོས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
མྱུར་	མྱུར་	VERB
དུ་	ལ་	PART
འབྲི་	འབྲི་	VERB
དགོས་པ་	དགོས་པ་	VERB
བྱུང་	བྱུང་	VERB
ན་	ནས་	PART
ཡུན་རིང་	ཡུན་རིང་	NOUN
དུ་	ལ་	PART
བཟླས་པ་	བཟླས་པ་	VERB
འི་	གི་	PART
ལོང་	ལོང་	VERB
མེད་	མེད་	VERB
ན་	ན་	ADP
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
མལ་	མལ་	NO_POS
གྱི་	གི་	PART
ཞལ་	ཞལ་	NOUN
ན་	ནས་	PART
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
གོང་མ་	གོང་མ་	ADJ
རྣམས་	རྣམས་	DET
འདི་བཞིན་	འདི་བཞིན་	NO_POS
མཛད་	མཛད་	VERB
གསུངས་	གསུངས་	VERB
ན་	ནས་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
གྲོག་	གྲོག་	NOUN
མང་	མང་	VERB
དུ་	ལ་	PART
བཙལ་	བཙལ་	NO_POS
ཏེ་	སྟེ་	PART
བུམ་པ་	བུམ་པ་	NOUN
ལ་	ལ་	ADP
གཟུངས་ཐག་	གཟུངས་ཐག་	NO_POS
མང་	མང་	VERB
དུ་	ལ་	PART
བཏགས་	བཏགས་	VERB
ན་	ནས་	PART
བླ་མ་	བླ་མ་	NOUN
ས་	གིས་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
ཡབ་ཡུམ་	ཡབ་ཡུམ་	NOUN
གྱི་	གི་	PART
བཟླས་	བཟླས་	NO_POS
།		PUNCT
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
གྲོག་	གྲོག་	NOUN
གཞན་	གཞན་	DET
གྱིས་	གིས་	PART
ལྷ་	ལྷ་	NOUN
སོ་སོ་	སོ་སོ་	PRON
འམ་	གམ་	PART
།		PUNCT
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
ཇི་ལྟ་		
རིགས་པ་	རིགས་པ་	VERB
འི་	གི་	PART
བཟླས་པ་	བཟླས་པ་	VERB
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལོག་པ་	ལོག་པ་	VERB
ས་	གིས་	PART
སྔ་མ་	སྔ་མ་	ADJ
བཞིན་	བཞིན་	NOUN
གྲངས་	གྲངས་	NOUN
ཀྱི་	གི་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
ཚར་བ་	ཚར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
བྲི་བ་	བྲི་བ་	VERB
མཛད་	མཛད་	VERB
དོ་	གོ་	PART
ཞེ་	ཅེས་	PART
གསུང་	གསུང་	VERB
ངོ་	ངོ་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
རེ་རེ་	རེ་རེ་	DET
ས་	གིས་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
ལྷ་	ལྷ་	NOUN
རེ་རེ་	རེ་རེ་	DET
འི་	གི་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
རྫོགས་	རྫོགས་	VERB
ཀྱི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
བཟླས་པ་	བཟླས་པ་	VERB
འམ་	གམ་	PART
།		PUNCT
ཐུན་	ཐུན་	NOUN
རེ་རེ་	རེ་རེ་	DET
ལ་	ལ་	ADP
ཀུན་	ཀུན་	DET
གྱིས་	གིས་	PART
ཅི་རིགས་པ་	ཅི་རིགས་པ་	OTHER
ར་	ལ་	PART
བཟླས་པ་	བཟླས་པ་	VERB
སྟེ་	སྟེ་	PART
ལུགས་	ལུགས་	NOUN
གཉིས་	གཉིས་	NUM
ནི་	ནི་	NO_POS
འདྲ་	འདྲ་	VERB
འོ་	གོ་	PART
། །		PUNCT
གང་ལྟར་	གང་ལྟར་	NO_POS
ཡང་	ཀྱང་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
ཐོན་པ་	ཐོན་པ་	VERB
འི་	གི་	PART
ནུབ་མོ་	ནུབ་མོ་	NOUN
ར་	ལ་	PART
སྔ་མ་	སྔ་མ་	ADJ
བཞིན་	བཞིན་	NOUN
ཚོགས་	ཚོགས་	NOUN
ཀྱི་	གི་	PART
མཆོད་པ་	མཆོད་པ་	VERB
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
།		PUNCT
ལྷག་མ་	ལྷག་མ་	NOUN
འི་	གི་	PART
གཏོར་མ་	གཏོར་མ་	NOUN
མ་	མ་	PART
བསྡུས་པ་	བསྡུས་པ་	VERB
འི་	གི་	PART
གོང་	གོང་	NOUN
དུ་	ལ་	PART
བུམ་པ་	བུམ་པ་	NOUN
ལ་	ལ་	ADP
བཟླས་པ་	བཟླས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
མཆོད་བསྟོད་	མཆོད་བསྟོད་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
བཏབ་	བཏབ་	VERB
ལ་	ལ་	ADP
བུམ་པ་	བུམ་པ་	NOUN
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
གི་	གི་	PART
དུང་ཆོས་	དུང་ཆོས་	NO_POS
ཀྱི་	གི་	PART
ཆུ་བུམ་པ་	ཆུ་བུམ་པ་	NO_POS
འི་	གི་	PART
ནང་	ནང་	NOUN
དུ་	ལ་	PART
བླུགས་པ་	བླུགས་པ་	VERB
ས་	གིས་	PART
བུམ་པ་	བུམ་པ་	NOUN
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
འོད་	འོད་	NOUN
དུ་	ལ་	PART
ཞུ་བ་	ཞུ་བ་	VERB
ར་	ལ་	PART
བསམ་	བསམ་	NOUN
མོ་	མོ་	PRON
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
ཚོགས་	ཚོགས་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
མཇུག་	མཇུག་	NOUN
གི་	གི་	PART
བྱ་བ་	བྱ་བ་	VERB
རྣམས་	རྣམས་	DET
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
བསྙེན་པ་	བསྙེན་པ་	VERB
འདི་	འདི་	DET
ལ་	ལ་	ADP
གཞུང་	གཞུང་	NOUN
དུ་	ལ་	PART
འཁྲུགས་	འཁྲུགས་	NO_POS
སུ་	སུ་	ADP
བྱེད་པ་	བྱེད་པ་	VERB
དེ་	དེ་	DET
མ་	མ་	PART
འཁྲུགས་པ་	འཁྲུགས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཀྱང་	ཀྱང་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
ལ་	ལ་	ADP
འགལ་བ་	འགལ་བ་	VERB
མེད་	མེད་	VERB
དེ་	དེ་	DET
།		PUNCT
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
སློབ་མ་	སློབ་མ་	NOUN
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
བརྟག་	བརྟག་	VERB
དེ་ནས་	དེ་ནས་	NO_POS
དབང་	དབང་	NOUN
ལ་	ལ་	ADP
བསྙེན་པ་	བསྙེན་པ་	VERB
དགོས་པ་	དགོས་པ་	VERB
ས་	གིས་	PART
དེ་	དེ་	DET
འི་	གི་	PART
དགོས་པ་	དགོས་པ་	VERB
བསམ་	བསམ་	NOUN
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བསྙེན་པ་	བསྙེན་པ་	VERB
འི་	གི་	PART
ཡོ་བྱད་	ཡོ་བྱད་	NOUN
བླང་	བླང་	NO_POS
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
གནས་	གནས་	NOUN
བརྟགས་	བརྟགས་	VERB
ལ་	ལ་	ADP
བསྙེན་པ་	བསྙེན་པ་	VERB
བྱ་	བྱ་	VERB
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
བ་	བ་	NOUN
ལ་	ལ་	ADP
སློབ་མ་	སློབ་མ་	NOUN
ས་	གིས་	PART
བླ་མ་	བླ་མ་	NOUN
རྟོག་	རྟོག་	VERB
ཏུ་	ལ་	PART
གཞུག་	གཞུག་	VERB
།		PUNCT
དབང་	དབང་	NOUN
ངེས་པ་		
བྱེད་	བྱེད་	VERB
ན་	ན་	ADP
དམ་ཚིག་	དམ་ཚིག་	NOUN
བསྲུང་	བསྲུང་	NO_POS
ནུས་	ནུས་	VERB
སམ་	གམ་	PART
དྲི་བ་	དྲི་བ་	VERB
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
བསྙེན་པ་	བསྙེན་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
བསྟན་	བསྟན་	VERB
ཟིན་	ཟིན་	VERB
ཏོ་	གོ་	PART
།། །།		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བསྙེན་པ་	བསྙེན་པ་	VERB
སྔོན་	སྔོན་	ADV
དུ་	ལ་	PART
སོང་	སོང་	VERB
ན་	ནས་	PART
ནུབ་	ནུབ་	ADV
གཉིས་པ་	གཉིས་པ་	NUM
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ཇི་ལྟ་		
སྐབས་	སྐབས་	NOUN
ལ་	ལ་	ADP
བབ་པ་	བབ་པ་	VERB
ན་	ནས་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གྱྀ་		NON_WORD
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ལ་	ལ་	ADP
འཇུག་པ་	འཇུག་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
གཉིས་	གཉིས་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ས་	ས་	ADP
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གྱི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ལ་	ལ་	ADP
ཆོ་	ཆོ་	NOUN
དྲུག་	དྲུག་	NUM
གམ་	གམ་	PART
བདུན་	བདུན་	NUM
དུ་	ལ་	PART
གསུངས་	གསུངས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
ས་	ས་	ADP
བརྟག་པ་	བརྟག་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གཟུང་བ་	གཟུང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བསླང་བ་	བསླང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
སྦྱང་བ་	སྦྱང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབ་པ་	བརླབ་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བསྲུང་བ་	བསྲུང་བ་	VERB
དང་	དང་	NO_POS
དྲུག་	དྲུག་	NUM
གོ་	གོ་	VERB
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
ས་	ས་	ADP
འི་	གི་	PART
ལྷ་མོ་	ལྷ་མོ་	NOUN
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ར་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
གཅིག་	གཅིག་	NUM
བསྔོ་	བསྔོ་	VERB
ན་	ན་	ADP
བདུན་	བདུན་	NUM
དུ་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
སྟ་གོན་	སྟ་གོན་	NOUN
གྱི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
འབྱུང་བ་	འབྱུང་བ་	VERB
ས་	གིས་	PART
ན་	ན་	ADP
མི་	མི་	PART
བགྲང་	བགྲང་	VERB
ངོ་	ངོ་	PART
། །		PUNCT
ས་	ས་	ADP
བཟུང་བ་	བཟུང་བ་	VERB
ལ་	ལ་	ADP
གཉིས་	གཉིས་	NUM
།		PUNCT
རང་	རང་	PRON
གིས་	གིས་	PART
བློ་	བློ་	NOUN
ས་	གིས་	PART
གཟུང་བ་	གཟུང་བ་	VERB
དང་	དང་	NO_POS
༑		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱིས་	གིས་	PART
གཟུང་བ་	གཟུང་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
བསླང་བ་	བསླང་བ་	VERB
ལ་	ལ་	ADP
ཡང་	ཀྱང་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
སྣང་བ་	སྣང་བ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
བསླང་བ་	བསླང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
མི་སྣང་བ་	མི་སྣང་བ་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
བསླང་བ་	བསླང་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
སྦྱང་བ་	སྦྱང་བ་	VERB
ལ་	ལ་	ADP
ཡང་	ཀྱང་	PART
གཉིས་	གཉིས་	NUM
༑		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
དང་	དང་	NO_POS
བྱ་བ་	བྱ་བ་	VERB
ས་	གིས་	PART
སྦྱང་བ་	སྦྱང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཏིང་ངེ་འཛིན་	ཏིང་ངེ་འཛིན་	NOUN
གྱིས་	གིས་	PART
སྦྱང་བ་	སྦྱང་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
དེ་དག་	དེ་དག་	OTHER
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
གོ་རིམ་	གོ་རིམ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ལག་	ལག་	NOUN
ཏུ་	ལ་	PART
བླང་བ་	བླང་བ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
མི་	མི་	PART
འཇུག་	འཇུག་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
ལག་	ལག་	NOUN
ཏུ་	ལ་	PART
བླང་བ་	བླང་བ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
མིང་	མིང་	NOUN
བཏགས་	བཏགས་	VERB
ན་	ན་	ADP
དགུ་སྟེ་	དགུ་སྟེ་	NO_POS
།		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
བརྟག་པ་	བརྟག་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བློ་	བློ་	NOUN
ས་	གིས་	PART
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
གཟུང་བ་	གཟུང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
སྣང་བ་	སྣང་བ་	VERB
ལས་ཚིག་	ལས་ཚིག་	OTHER
གིས་	གིས་	PART
བསླང་བ་	བསླང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱིས་	གིས་	PART
གཟུང་བ་	གཟུང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
མི་སྣང་བ་	མི་སྣང་བ་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
བསླང་བ་	བསླང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
དང་	དང་	NO_POS
བྱ་བ་	བྱ་བ་	VERB
ས་	གིས་	PART
སྐྱོན་	སྐྱོན་	NOUN
སྦྱང་བ་	སྦྱང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཏིང་ངེ་འཛིན་	ཏིང་ངེ་འཛིན་	NOUN
གྱིས་	གིས་	PART
བགེགས་	བགེགས་	NOUN
སྦྱང་བ་	སྦྱང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབ་པ་	བརླབ་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ས་	ས་	ADP
བསྲུང་བ་	བསྲུང་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
གྲོང་ཁྱེར་	གྲོང་ཁྱེར་	NOUN
