form	lemma	POS	morph
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱི་	གི་	PART
སྲིན་ལག་	སྲིན་ལག་	NO_POS
གཡོན་པ་	གཡོན་པ་	ADJ
འི་	གི་	PART
ཁྲག་	ཁྲག་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བདུད་རྩི་	བདུད་རྩི་	NOUN
ལྔ་	ལྔ་	NUM
བསྲེས་	བསྲེས་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
དཔྲལ་བ་	དཔྲལ་བ་	NOUN
མགྲིན་པ་	མགྲིན་པ་	NOUN
སྙིང་ག་	སྙིང་ག་	NOUN
རྣམས་	རྣམས་	DET
སུ་	སུ་	ADP
རེག་	རེག་	VERB
ཅིང་	ཅིང་	PART
འབྲུ་	འབྲུ་	NOUN
གསུམ་	གསུམ་	NUM
བརྗོད་	བརྗོད་	VERB
།		PUNCT
གནས་	གནས་	NOUN
གསུམ་པོ་	གསུམ་པོ་	NUM
དེ་	དེ་	DET
ར་	ལ་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
གསུམ་	གསུམ་	NUM
ཡི་གེ་	ཡི་གེ་	NOUN
གསུམ་	གསུམ་	NUM
གྱིས་	གིས་	PART
མཚན་པ་	མཚན་པ་	VERB
བསྒོམ་	བསྒོམ་	VERB
།		PUNCT
སློབ་མ་	སློབ་མ་	NOUN
ལྷག་པ་	ལྷག་པ་	VERB
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ར་	ལ་	PART
བསམ་	བསམ་	NOUN
ལ་	ལ་	ADP
མཆོད་པ་	མཆོད་པ་	VERB
ལྔ་	ལྔ་	NUM
ས་	གིས་	PART
མཆོད་	མཆོད་	VERB
།		PUNCT
སྲུང་སྐུད་	སྲུང་སྐུད་	NO_POS
དམར་པོ་	དམར་པོ་	ADJ
ལ་	ལ་	ADP
མདུད་པ་	མདུད་པ་	NOUN
གསུམ་	གསུམ་	NUM
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
ཧཱུྃ་		NON_WORD
ལས་དམ་	ལས་དམ་	NO_POS
ཚིག་	ཚིག་	NOUN
གི་	གི་	PART
སྐུད་པ་	སྐུད་པ་	VERB
ར་	ལ་	PART
བསྐྱེད་	བསྐྱེད་	VERB
ཅིང་	ཅིང་	PART
།		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
སྐུད་པ་	སྐུད་པ་	VERB
བསྟིམ་	བསྟིམ་	NO_POS
།		PUNCT
ཡི་གེ་	ཡི་གེ་	NOUN
བདུན་པ་	བདུན་པ་	NUM
བཟླས་	བཟླས་	NO_POS
ཤིང་	ཅིང་	PART
དཔུང་པ་	དཔུང་པ་	NO_POS
གཡོན་པ་	གཡོན་པ་	ADJ
ར་	ལ་	PART
བཅིངས་	བཅིངས་	VERB
ལ་	ལ་	ADP
ཡི་གེ་	ཡི་གེ་	NOUN
བརྒྱ་པ་	བརྒྱ་པ་	NUM
ས་	གིས་	PART
བརྟན་པ་	བརྟན་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བདུད་རྩི་	བདུད་རྩི་	NOUN
སྦྱར་བ་	སྦྱར་བ་	VERB
ཁ་	ཁ་	PRON
ར་	ལ་	PART
བླུད་	བླུད་	NO_POS
ཅིང་	ཅིང་	PART
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཧྲཱིཿ་		NON_WORD
བི་	བི་	NO_POS
ཤུངྔྷཿ་		NON_WORD
སརྦ་	སརྦ་	NO_POS
དྷརྨཱཿ་		NON_WORD
སརྦ་	སརྦ་	NO_POS
པཱ་	པཱ་	NO_POS
པཾ་		NON_WORD
ནི་	ནི་	NO_POS
སྱ་		NON_WORD
སཾ་		NON_WORD
ཤོ་	ཤོ་	NOUN
ངྷ་		NON_WORD
ཡ་	ཡ་	NOUN
སརྦ་	སརྦ་	NO_POS
བི་	བི་	NO_POS
ཀལྤ་	ཀལྤ་	NO_POS
ཨ་པ་	ཨ་པ་	OTHER
ན་	ན་	ADP
ཡེ་	ཡེ་	ADV
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
བཟླས་	བཟླས་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
ལུས་	ལུས་	NOUN
ལ་	ལ་	ADP
ཡང་	ཀྱང་	PART
གཏོ་	གཏོ་	VERB
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
སོ་ཤིང་	སོ་ཤིང་	NO_POS
གས་ཆག་	གས་ཆག་	NO_POS
མེད་པ་	མེད་པ་	VERB
སོ་	སོ་	PART
ར་	ལ་	PART
བཅུ་གཉིས་པ་	བཅུ་གཉིས་པ་	NO_POS
རྩེ་མོ་	རྩེ་མོ་	NOUN
ལ་	ལ་	ADP
མེ་ཏོག་	མེ་ཏོག་	NOUN
བཏགས་པ་	བཏགས་པ་	VERB
ལག་	ལག་	NOUN
		
པ་	པ་	OTHER
གཡོན་	གཡོན་	NOUN
		
ལུ་	ལུ་	NO_POS
		
པ་	པ་	OTHER
གཡོན་	གཡོན་	NOUN
		
པ་	པ་	OTHER
ས་	གིས་	PART
བཟུང་	བཟུང་	NO_POS
།		PUNCT
གསེར་དངུལ་	གསེར་དངུལ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱས་པ་	བྱས་པ་	VERB
ར་	ལ་	PART
མོ་	མོ་	VERB
ལ་སོ་	ལ་སོ་	NO_POS
བྲུད་པ་	བྲུད་པ་	NON_WORD
ས་	གིས་	PART
སྡིག་པ་	སྡིག་པ་	VERB
སྐྱུགས་པ་	སྐྱུགས་པ་	VERB
ར་	ལ་	PART
བསམ་	བསམ་	NOUN
ལྟོས་པ་	ལྟོས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
དོར་	དོར་	VERB
།		PUNCT
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
བམ་	གམ་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
གང་	གང་	NO_POS
འགྲུབ་	འགྲུབ་	VERB
བརྟག་	བརྟག་	VERB
རང་	རང་	PRON
ལ་	ལ་	ADP
བལྟ་	བལྟ་	VERB
ན་	ན་	ADP
མཆོག་	མཆོག་	ADJ
སྟེང་	སྟེང་	NOUN
དུ་	ལ་	PART
བལྟ་	བལྟ་	VERB
ན་	ན་	ADP
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
གྲུབ་པ་	གྲུབ་པ་	VERB
བརྒྱད་	བརྒྱད་	NUM
།		PUNCT
འོག་	འོག་	NOUN
ཏུ་	ལ་	PART
བལྟ་	བལྟ་	VERB
ན་	ན་	ADP
ས་འོག་	ས་འོག་	OTHER
ཕྱོགས་མཚམས་	ཕྱོགས་མཚམས་	NOUN
སུ་	སུ་	ADP
བལྟ་	བལྟ་	VERB
ན་	ན་	ADP
ལས་ཕྲན་	ལས་ཕྲན་	NO_POS
ཚེགས་	ཚེགས་	NOUN
འགྲུབ་བོ་	འགྲུབ་བོ་	VERB
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
ངྷཱིཿ་		NON_WORD
བཟླས་པ་	བཟླས་པ་	VERB
འི་	གི་	PART
ཀུ་ཤ་	ཀུ་ཤ་	NOUN
སྟན་	སྟན་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ཧ་	ཧ་	NOUN
བཟླས་པ་	བཟླས་པ་	VERB
སྔ་	སྔ་	NOUN
སུ་	སུ་	ADP
བྱིན་	བྱིན་	VERB
ལ་	ལ་	ADP
།		PUNCT
ཆོ་	ཆོ་	NOUN
ཟབ་མོ་	ཟབ་མོ་	ADJ
བཤད་	བཤད་	VERB
དེ་	དེ་	DET
སྤྲོ་བ་	སྤྲོ་བ་	VERB
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
ནི་	ནི་	NO_POS
༑		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
དུ་	ལ་	PART
ནི་	ནི་	NO_POS
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
དག་	དག་	DET
།		PUNCT
ཨུ་དུམྺཱ་ར་	ཨུ་དུམྺཱ་ར་	NO_POS
འི་	གི་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
བཞིན་	བཞིན་	NOUN
། །		PUNCT
བརྒྱ་ལམ་	བརྒྱ་ལམ་	ADJ
ན་	ན་	ADP
ནི་	ནི་	NO_POS
རེས་འགའ་	རེས་འགའ་	NO_POS
ཞིག་	ཅིག་	PART
།		PUNCT
འབྱུང་འགྱུར་	འབྱུང་འགྱུར་	NOUN
ཡང་	ཀྱང་	PART
ནི་	ནི་	NO_POS
མི་	མི་	PART
འབྱུང་	འབྱུང་	VERB
ངོ་	ངོ་	PART
། །		PUNCT
གསང་སྔགས་	གསང་སྔགས་	NOUN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
འབྱུང་བ་	འབྱུང་བ་	VERB
། །		PUNCT
དེ་བ་	དེ་བ་	OTHER
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
ནི་	ནི་	NO_POS
དཀོན་པ་	དཀོན་པ་	NO_POS
སྟེ་	སྟེ་	PART
། །		PUNCT
གང་	གང་	NO_POS
གིས་	གིས་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
མཉམ་མེད་	མཉམ་མེད་	ADJ
དོན་	དོན་	NOUN
། །		PUNCT
མྱ་ངན་	མྱ་ངན་	NOUN
མི་འདའ་	མི་འདའ་	NO_POS
བྱེད་པ་	བྱེད་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
། །		PUNCT
བསྐལ་པ་	བསྐལ་པ་	NOUN
བྱེ་བ་	བྱེ་བ་	NOUN
དུ་མ་	དུ་མ་	ADJ
རུ་	ལ་	PART
། །		PUNCT
སྔོན་	སྔོན་	ADV
དུ་	ལ་	PART
སྡིག་པ་	སྡིག་པ་	VERB
བྱས་པ་	བྱས་པ་	VERB
ཡང་	ཀྱང་	PART
། །		PUNCT
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
འདི་འདྲ་	འདི་འདྲ་	NO_POS
མཐོང་	མཐོང་	VERB
མ་	མ་	PART
ཐག་	ཐག་	VERB
།		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཟད་པ་		
འགྱུར་	འགྱུར་	VERB
ཡིན་	ཡིན་	NO_POS
ན་	ན་	ADP
། །		PUNCT
གྲགས་པ་	གྲགས་པ་	VERB
མཐའ་	མཐའ་	NOUN
ཡ་		
སྔགས་	སྔགས་	NOUN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
། །		PUNCT
ཚུལ་	ཚུལ་	NOUN
ལ་	ལ་	ADP
གནས་	གནས་	NOUN
ན་	ན་	ADP
སྨོས་ཅི་	སྨོས་ཅི་	NO_POS
དགོས་	དགོས་	VERB
། །		PUNCT
སྐྱོབ་པ་	སྐྱོབ་པ་	VERB
འི་	གི་	PART
གསང་སྔགས་	གསང་སྔགས་	NOUN
བཟླས་	བཟླས་	NO_POS
ན་	ན་	ADP
ནི་	ནི་	NO_POS
། །		PUNCT
གོ་འཕང་	གོ་འཕང་	NOUN
བླ་	བླ་	NOUN
ན་	ན་	ADP
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
༑ ༑		PUNCT
གང་	གང་	NO_POS
གིས་	གིས་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
འདི་	འདི་	DET
ལ་	ལ་	ADP
། །		PUNCT
བློ་གྲོས་	བློ་གྲོས་	NOUN
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
མི་གཡོ་བ་	མི་གཡོ་བ་	NO_POS
ས་	གིས་	PART
"།

།"		PUNCT
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
འབྱུང་བ་	འབྱུང་བ་	VERB
ཡི་	ཡི་	ADP
། །		PUNCT
ངན་འགྲོ་	ངན་འགྲོ་	NOUN
དེ་	དེ་	DET
ཡི་	གིས་	PART
གཅོད་པ་	གཅོད་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
། །		PUNCT
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཁྱེད་	ཁྱེད་	PRON
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
། །		PUNCT
རྙེད་པ་	རྙེད་པ་	VERB
མཉམ་མེད་	མཉམ་མེད་	ADJ
དེ་རིང་	དེ་རིང་	ADV
རྙེད་	རྙེད་	VERB
། །		PUNCT
གང་	གང་	NO_POS
ཕྱི་	ཕྱི་	OTHER
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
སྲ་	སྲ་	NOUN
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
། །		PUNCT
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱི་	གི་	PART
། །		PUNCT
བསྟན་པ་	བསྟན་པ་	VERB
འདི་	འདི་	DET
ལ་	ལ་	ADP
ཁྱེད་	ཁྱེད་	PRON
རྣམས་	རྣམས་	DET
ཀུན་	ཀུན་	DET
། །		PUNCT
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
སྐྱེ་	སྐྱེ་	NOUN
བཞིན་པ་	བཞིན་པ་	NOUN
ར་	ལ་	PART
། །		PUNCT
དེ་ཕྱིར་	དེ་ཕྱིར་	NO_POS
ཁྱེད་	ཁྱེད་	PRON
རྣམས་	རྣམས་	DET
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
དུ་	ལ་	PART
། །		PUNCT
ལེགས་པ་	ལེགས་པ་	VERB
ཉིད་	ཉིད་	DET
དུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
། །		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
། །		PUNCT
ལམ་མཆོག་	ལམ་མཆོག་	OTHER
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
དཔལ་	དཔལ་	OTHER
དང་	དང་	NO_POS
ལྡན་	ལྡན་	VERB
།		PUNCT
ཁྱེད་	ཁྱེད་	PRON
རྣམས་	རྣམས་	DET
དེ་	དེ་	DET
ར་	ལ་	PART
ནི་	ནི་	NO_POS
དོང་པ་	དོང་པ་	NO_POS
ས་	གིས་	PART
ན་	ན་	ADP
། །		PUNCT
རང་བྱུང་	རང་བྱུང་	NOUN
བསྐལ་པ་	བསྐལ་པ་	NOUN
ཆེན་པོ་པ་	ཆེན་པོ་པ་	ADJ
། །		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ཡི་	ཡི་	ADP
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
ཉིད་	ཉིད་	DET
དུ་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
། །		PUNCT
ཞེ་	ཅེས་	PART
སྤྲོ་བ་	སྤྲོ་བ་	VERB
བསྐྱེད་	བསྐྱེད་	VERB
ལ་	ལ་	ADP
གློ་	གློ་	NOUN
གཡས་པ་	གཡས་པ་	VERB
ས་	ས་	ADP
ལ་	ལ་	ADP
ཕབ་	ཕབ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གྱི་	གི་	PART
ཁང་པ་	ཁང་པ་	NOUN
དེ་ཉིད་	དེ་ཉིད་	NOUN
དུ་	ལ་	PART
ཉལ་བ་	ཉལ་བ་	VERB
འམ་	གམ་	PART
།		PUNCT
གཞན་	གཞན་	DET
དུ་	ལ་	PART
ཡང་	ཀྱང་	PART
རུང་	རུང་	SCONJ
སྟེ་	སྟེ་	PART
ཉལ་	ཉལ་	NO_POS
ལ་	ལ་	ADP
རྨི་ལམ་	རྨི་ལམ་	NOUN
བརྟག་	བརྟག་	VERB
ངན་	ངན་	VERB
ན་	ན་	ADP
བསྲུང་	བསྲུང་	NO_POS
ངོ་	ངོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
ངན་པ་	ངན་པ་	VERB
ནི་	ནི་	NO_POS
ཆུ་	ཆུ་	VERB
ཁྱེར་བ་	ཁྱེར་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འོ་	གོ་	PART
། །		PUNCT
བཟང་བ་	བཟང་བ་	VERB
ནི་	ནི་	NO_POS
རི་ཕུག་	རི་ཕུག་	NOUN
ཏུ་	ལ་	PART
ཉི་མ་	ཉི་མ་	NOUN
འདེ་བ་	འདེ་བ་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འོ་	གོ་	PART
། །		PUNCT
སློབ་མ་	སློབ་མ་	NOUN
ལྷག་པ་		
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འོ་	གོ་	PART
༑ ༑		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བུམ་པ་	བུམ་པ་	NOUN
ལྷག་པ་		
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྡུ་	བསྡུ་	VERB
ན་	ན་	ADP
གཉིས་	གཉིས་	NUM
སུ་	སུ་	ADP
བཅས་པ་	བཅས་པ་	VERB
ལྷག་པ་		
བཀྲུ་	བཀྲུ་	NO_POS
།		PUNCT
སྐྱ་	སྐྱ་	VERB
ཞལ་	ཞལ་	NOUN
བྱུག་	བྱུག་	VERB
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
ལ་	ལ་	ADP
ཤོག་བུ་	ཤོག་བུ་	NOUN
ལ་	ལ་	ADP
རིགས་	རིགས་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
མཚན་མ་	མཚན་མ་	NOUN
བྲིས་	བྲིས་	VERB
ལ་	ལ་	ADP
གདགས་	གདགས་	NO_POS
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐམས་ཅད་པ་	ཐམས་ཅད་པ་	DET
ལ་	ལ་	ADP
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
བྲི་	བྲི་	NO_POS
།		PUNCT
མགུལ་ཆིངས་	མགུལ་ཆིངས་	NO_POS
བཅིང་	བཅིང་	NO_POS
།		PUNCT
གུ་གུལ་	གུ་གུལ་	NO_POS
གྱིས་	གིས་	PART
བདུག་	བདུག་	NO_POS
ཅིང་	ཅིང་	PART
སུམྦྷ་		NON_WORD
ནི་	ནི་	NO_POS
བཟླས་	བཟླས་	NO_POS
།		PUNCT
ཡུངས་དཀར་	ཡུངས་དཀར་	NOUN
བརྡེག་	བརྡེག་	VERB
གཉིས་ཀ་	གཉིས་ཀ་	OTHER
འི་	གི་	PART
ནང་	ནང་	NOUN
དུ་	ལ་	PART
སྨན་ལྔ་	སྨན་ལྔ་	NO_POS
དང་	དང་	NO_POS
འབྲུ་	འབྲུ་	NOUN
ལྔ་	ལྔ་	NUM
དང་	དང་	NO_POS
།		PUNCT
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ལྔ་	ལྔ་	NUM
བཞུགབདུད་		NON_WORD
རྩི་	རྩི་	NOUN
ལྔ་	ལྔ་	NUM
བླུགས་	བླུགས་	VERB
།		PUNCT
དྲི་ཞིམ་པོ་	དྲི་ཞིམ་པོ་	NOUN
འི་	གི་	PART
ཆུ་	ཆུ་	VERB
དགང་	དགང་	NO_POS
།		PUNCT
ཁ་རྒྱན་	ཁ་རྒྱན་	OTHER
མེ་ཏོག་	མེ་ཏོག་	NOUN
གི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
གདགས་	གདགས་	NO_POS
།		PUNCT
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
དུ་	ལ་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
བསྐྱེད་	བསྐྱེད་	VERB
།		PUNCT
གོ་ཆ་	གོ་ཆ་	NOUN
དགོད་	དགོད་	VERB
།		PUNCT
ཡེ་ཤེས་པ་	ཡེ་ཤེས་པ་	NOUN
གཞུག་	གཞུག་	VERB
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
ཞིང་	ཞིང་	SCONJ
རྒྱ་	རྒྱ་	VERB
གདབ་	གདབ་	NO_POS
།		PUNCT
ཕྱི་	ཕྱི་	NOUN
ནང་	ནང་	NOUN
གི་	གི་	PART
མཆོད་པ་	མཆོད་པ་	VERB
ས་	གིས་	PART
མཆོད་	མཆོད་	VERB
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐམས་ཅད་པ་	ཐམས་ཅད་པ་	DET
ར་	ལ་	PART
བདེ་བ་	བདེ་བ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ལྔ་	ལྔ་	NUM
འམ་	གམ་	PART
།		PUNCT
ཁཎྜ་		NON_WORD
རོ་	རོ་	NOUN
ཧཱ་		NON_WORD
གང་རུང་	གང་རུང་	NOUN
བསྐྱེད་	བསྐྱེད་	VERB
།		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
ཡེ་ཤེས་པ་	ཡེ་ཤེས་པ་	NOUN
གཞུག་པ་	གཞུག་པ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ཐམས་ཅད་	ཐམས་ཅད་	DET
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
དུ་	ལ་	PART
ལྷ་	ལྷ་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
སམ་	གམ་	PART
ཡུམ་	ཡུམ་	NOUN
གྱི་	གི་	PART
ཉེ་སྙིང་	ཉེ་སྙིང་	NO_POS
སརྦ་	སརྦ་	NO_POS
བུངྔྷ་		NON_WORD
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
བརྒྱ་	བརྒྱ་	NUM
		
རྩ་	རྩ་	NUM
འམ་	གམ་	PART
		
ལུ་	ལུ་	NO_POS
		
རྩ་	རྩ་	NUM
བརྒྱད་	བརྒྱད་	NUM
དམ་	དམ་	PART
		
ཉེ་	ཉེ་	NUM
གཅིག་	གཅིག་	NUM
བཟླས་	བཟླས་	NO_POS
སོ་	སོ་	PART
"།

།"		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐམས་ཅད་པ་	ཐམས་ཅད་པ་	DET
ར་	ལ་	PART
ཡང་	ཀྱང་	PART
དེ་ཉིད་	དེ་ཉིད་	NOUN
དམ་	དམ་	PART
༑		PUNCT
ཁཎྜ་		NON_WORD
རོ་	རོ་	NOUN
ཧཱ་		NON_WORD
བཟླས་	བཟླས་	NO_POS
།		PUNCT
ཡང་ན་	ཡང་ན་	NO_POS
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
གྱི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
བཟླས་	བཟླས་	NO_POS
ཀྱང་	ཀྱང་	PART
རུང་	རུང་	SCONJ
ངོ་	ངོ་	PART
།།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བུམ་པ་	བུམ་པ་	NOUN
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
གི་	གི་	PART
ཐོད་པ་	ཐོད་པ་	NOUN
འི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
དེ་	དེ་	DET
བུམ་པ་	བུམ་པ་	NOUN
གཉིས་	གཉིས་	NUM
སུ་	སུ་	ADP
བགོས་	བགོས་	VERB
ལ་	ལ་	ADP
བླུགས་པ་	བླུགས་པ་	VERB
ས་	གིས་	PART
ལྷ་	ལྷ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
འོད་	འོད་	NOUN
དུ་	ལ་	PART
ཞུ་བ་	ཞུ་བ་	VERB
ར་	ལ་	PART
བསམ་	བསམ་	NOUN
མོ་	མོ་	PRON
། །		PUNCT
བུམ་པ་	བུམ་པ་	NOUN
སྟ་གོན་	སྟ་གོན་	NOUN
ནོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
ཞག་	ཞག་	NOUN
གི་	གི་	PART
ནུབ་མོ་	ནུབ་མོ་	NOUN
གནས་ཁང་	གནས་ཁང་	NOUN
ཕྱག་དར་	ཕྱག་དར་	NOUN
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
།		PUNCT
བ་བྱུང་	བ་བྱུང་	NO_POS
དང་	དང་	NO_POS
བདུད་རྩི་	བདུད་རྩི་	NOUN
བསྲེས་པ་	བསྲེས་པ་	VERB
ས་	གིས་	PART
བྱུག་	བྱུག་	VERB
བྲིས་སྐུ་	བྲིས་སྐུ་	NOUN
ཞལ་	ཞལ་	NOUN
དབྱེ་	དབྱེ་	VERB
།		PUNCT
བྲིས་སྐུ་	བྲིས་སྐུ་	NOUN
འི་	གི་	PART
ཕྱོགས་མཚམས་	ཕྱོགས་མཚམས་	NOUN
བརྒྱད་	བརྒྱད་	NUM
དུ་	ལ་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
དང་	དང་	NO_POS
སྤོ་	སྤོ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
ཡོ་བྱད་	ཡོ་བྱད་	NOUN
ཅི་	ཅི་	NO_POS
འབྱོར་པ་	འབྱོར་པ་	NOUN
བཤམ་	བཤམ་	NO_POS
།		PUNCT
ནང་མཆོད་	ནང་མཆོད་	NOUN
དང་	དང་	NO_POS
།		PUNCT
མེད་	མེད་	VERB
དུ་	ལ་	PART
མི་	མི་	PART
རུང་བ་	རུང་བ་	VERB
ར་	ར་	NOUN
ཟུང་	ཟུང་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཀུ་ཤ་	ཀུ་ཤ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
